,Suburb,ID,0 to 4,5 to 19,20 to 39,40 to 59,60+,Job requires Tertiary qualification,Job Does not require a Tertiary qualification,% holding Job requiring Tertiary,% holding job not requiring Tertiary,Born in Australia,Born outside of Australia,Percent born in Aus,Percent born outside of Aus
91,Croydon South,10897,348.0,806.0,1270.0,1184.0,957.0,1152.0,1112.0,50.8833922261484,49.11660777385159,3489.0,1083.0,76.31233595800525,23.68766404199475
92,Dallas,11087,597.0,1560.0,2036.0,1551.0,1049.0,516.0,1136.0,31.234866828087167,68.76513317191282,2942.0,3868.0,43.201174743024964,56.798825256975036
93,Dandenong,11157,2421.0,4976.0,11494.0,6401.0,4619.0,3905.0,6696.0,36.83614753325158,63.163852466748416,8378.0,21528.0,28.01444526182037,71.98555473817963
94,Dandenong North,11187,1401.0,3978.0,6425.0,5592.0,5063.0,3530.0,5361.0,39.70307052075132,60.296929479248675,9499.0,12952.0,42.30991937998307,57.69008062001693
95,Deepdene,11487,66.0,371.0,421.0,516.0,662.0,591.0,310.0,65.5937846836848,34.406215316315205,1326.0,709.0,65.15970515970515,34.84029484029484
96,Deer Park,11507,1529.0,3291.0,6000.0,4192.0,3123.0,2381.0,4765.0,33.31933949062413,66.68066050937588,7737.0,10389.0,42.684541542535584,57.315458457464416
97,Delahey,11547,465.0,1592.0,2427.0,2436.0,1408.0,1111.0,2466.0,31.05954710651384,68.94045289348615,3930.0,4409.0,47.127952991965465,52.87204700803454
98,Derrimut,161087,,,,,,,,,,,,,
99,Diamond Creek,11867,696.0,2597.0,2849.0,3736.0,1871.0,3385.0,3145.0,51.83767228177641,48.16232771822359,9662.0,2071.0,82.34893036733997,17.65106963266002
100,Diggers Rest,11897,173.0,435.0,874.0,749.0,525.0,592.0,825.0,41.77840508115737,58.22159491884263,2028.0,735.0,73.39847991313789,26.601520086862106
101,Dingley Village,11977,496.0,1967.0,2143.0,2965.0,2741.0,2514.0,2638.0,48.79658385093168,51.203416149068325,7294.0,3026.0,70.67829457364341,29.321705426356587
102,Docklands,12117,557.0,673.0,6677.0,2135.0,920.0,3901.0,1995.0,66.16350067842606,33.836499321573946,2976.0,7988.0,27.143378329076977,72.85662167092302
103,Doncaster,12177,944.0,3086.0,5880.0,5151.0,5887.0,4921.0,4134.0,54.34566537824407,45.654334621755936,9339.0,11607.0,44.58607848753939,55.41392151246062
104,Doncaster East,12227,1480.0,5123.0,6914.0,7513.0,7322.0,6804.0,5774.0,54.09445062808078,45.90554937191922,13692.0,14668.0,48.27926657263752,51.72073342736249
105,Donvale,12247,627.0,2294.0,2579.0,3424.0,3416.0,3206.0,2510.0,56.08817354793562,43.91182645206438,7819.0,4528.0,63.32712399773224,36.672876002267756
106,Doreen,12307,2435.0,4955.0,6773.0,5023.0,2111.0,5010.0,5573.0,47.34007370310876,52.659926296891236,17248.0,4050.0,80.98412996525497,19.015870034745046
107,Doveton,12367,682.0,1714.0,3105.0,2122.0,1757.0,1046.0,2057.0,33.70931356751531,66.29068643248469,3553.0,5805.0,37.96751442615944,62.03248557384057
108,Eaglemont,13037,154.0,766.0,801.0,1151.0,995.0,1249.0,727.0,63.208502024291505,36.7914979757085,2838.0,1035.0,73.27652982184352,26.723470178156468
109,East Melbourne,13127,152.0,241.0,2189.0,1149.0,1232.0,2170.0,859.0,71.64080554638494,28.359194453615054,3112.0,1852.0,62.691377921031425,37.308622078968575
110,Edithvale,13457,409.0,957.0,1539.0,1686.0,1227.0,1568.0,1320.0,54.29362880886427,45.70637119113574,4274.0,1532.0,73.61350327247675,26.38649672752325
111,Elsternwick,13627,631.0,1841.0,3062.0,2799.0,2020.0,3479.0,1908.0,64.58139966586226,35.41860033413774,6735.0,3614.0,65.07875157020003,34.92124842979998
112,Eltham,13677,975.0,3845.0,3708.0,5769.0,4019.0,5601.0,3979.0,58.46555323590814,41.53444676409186,14431.0,3883.0,78.79764114884787,21.202358851152123
