,Unnamed: 0,Unnamed: 0.1,Suburb,ID,0 to 4,5 to 19,20 to 39,40 to 59,60+,Not Stated,Machinery,Labourers,Community,Technicians,Sales,Clerical,Managers,Professionals,Born in Australia,Total
124,124,124,Fitzroy,14527,546.0,952.0,5015.0,2474.0,1466.0,104,83,202,526,324,374,496,898,2411,5555,10445
125,125,125,Fitzroy North,14567,522.0,1460.0,5054.0,3084.0,2219.0,111,84,160,656,488,430,766,1156,3194,8302,12339
126,126,126,Flemington,14617,510.0,1243.0,3070.0,1784.0,1106.0,53,119,231,384,210,265,418,406,1233,4044,7719
127,127,127,Footscray,14717,925.0,1549.0,8378.0,3332.0,2166.0,162,410,835,967,827,772,985,890,2387,7144,16345
128,128,128,Forest Hill,14827,608.0,1784.0,2776.0,2789.0,2658.0,70,173,343,452,537,526,688,625,1365,6006,10626
129,129,129,Frankston,14947,2294.0,5712.0,10385.0,9258.0,8456.0,292,1077,1659,2083,2655,1749,1954,1451,2725,24841,36097
130,130,130,Frankston North,15007,387.0,961.0,1537.0,1487.0,1389.0,31,233,362,239,334,175,179,117,154,3862,5762
131,131,131,Frankston South,15027,1031.0,3514.0,3578.0,5205.0,4871.0,112,300,557,921,1261,1047,1174,1318,2079,13356,18199
132,132,132,Gardenvale,15237,59.0,134.0,366.0,251.0,196.0,9,17,29,53,55,51,75,91,198,619,1006
133,133,133,Gisborne,15737,697.0,1939.0,1961.0,2569.0,1834.0,51,195,283,473,686,385,647,591,1036,7297,8999
134,134,134,Gladstone Park,15787,483.0,1334.0,2067.0,2025.0,2434.0,69,325,369,384,507,377,635,319,487,5028,8338
135,135,135,Glen Huntly,15877,309.0,537.0,2446.0,1005.0,746.0,47,68,170,264,266,222,334,333,947,1920,5040
136,136,136,Glen Iris,15907,1325.0,5110.0,6972.0,7014.0,4852.0,200,149,427,995,789,1126,1731,2556,5155,17518,25268
137,137,137,Glen Waverley,15957,1738.0,8078.0,9965.0,10857.0,9695.0,323,506,1132,1494,1593,1779,2401,2525,5565,16488,40327
138,138,138,Glenroy,16477,1642.0,3357.0,8180.0,4723.0,4344.0,175,736,1161,1058,1482,819,1233,813,1806,10945,22245
139,139,139,Gowanbrae,16877,221.0,558.0,722.0,762.0,502.0,13,74,84,124,161,136,237,200,320,1979,2773
140,140,140,Greensborough,17297,1341.0,3795.0,5324.0,5676.0,4700.0,137,342,615,1128,1481,995,1669,1337,2824,15788,20821
141,141,141,Greenvale,17317,983.0,3306.0,4374.0,4595.0,2218.0,178,524,637,645,1160,976,1329,1091,1318,10051,15466
142,142,142,Hadfield,17537,379.0,937.0,1585.0,1310.0,1375.0,41,192,205,220,384,192,317,214,408,3316,5610
143,143,143,Hallam,17567,758.0,2081.0,3182.0,2729.0,2096.0,95,522,643,534,715,439,609,347,597,4587,10852
144,144,144,Hampton,17737,707.0,3020.0,2460.0,4380.0,2825.0,79,69,181,596,402,573,786,1541,2148,9105,13391
145,145,145,Hampton East,17757,335.0,786.0,1203.0,1386.0,983.0,23,72,107,233,207,230,306,382,666,3020,4689
146,146,146,Hampton Park,17807,2014.0,5675.0,7814.0,6724.0,3301.0,243,1565,1808,1300,1834,922,1357,605,974,10637,25530
147,147,147,Hawthorn,18087,1023.0,3450.0,10593.0,4892.0,3551.0,196,146,516,1179,740,1121,1593,2117,5302,14239,23511
148,148,148,Hawthorn East,18117,776.0,2282.0,5413.0,3312.0,2547.0,115,100,237,638,445,651,941,1360,3157,9100,14321
149,149,149,Healesville,18247,444.0,1341.0,1474.0,2140.0,2060.0,76,206,396,408,593,250,355,455,546,5776,7461
150,150,150,Heathmont,18347,695.0,1816.0,2363.0,2693.0,2118.0,50,163,296,500,618,458,676,692,1376,7292,9688
151,151,151,Heidelberg,18387,464.0,939.0,1983.0,1536.0,1306.0,40,67,141,247,273,251,395,478,1218,4161,6225
152,152,152,Heidelberg Heights,18397,419.0,861.0,2106.0,1555.0,1122.0,60,128,232,321,382,229,374,300,920,3859,6087
153,153,153,Heidelberg West,18427,421.0,1017.0,1760.0,1314.0,1036.0,44,164,250,271,269,142,208,114,362,2986,5545
154,154,154,Highett,18717,787.0,1814.0,2679.0,3106.0,2072.0,61,144,252,493,553,514,760,890,1524,6911,10454
155,155,155,Hillside,18837,1132.0,4280.0,4688.0,5158.0,1799.0,127,715,793,850,1347,1051,1431,910,1294,11294,17056
